time,instrument,granularity,side,price,position_size,equity,drawdown
2025-09-10 16:00:00+00:00,EUR_USD,M15,BUY,1.171,2503.33,100133.12,0.000469
2025-09-11 02:00:00+00:00,EUR_USD,M15,FLAT,1.16986,0.0,100130.69,0.000494
2025-09-11 16:00:00+00:00,EUR_USD,M15,BUY,1.17387,2503.27,100130.69,0.000494
2025-09-12 12:00:00+00:00,EUR_USD,M15,FLAT,1.17162,0.0,100125.89,0.000541
2025-09-15 01:00:00+00:00,EUR_USD,M15,BUY,1.17256,2503.15,100125.89,0.000541
2025-09-15 10:15:00+00:00,EUR_USD,M15,FLAT,1.17595,0.0,100133.12,0.000469
2025-09-15 10:30:00+00:00,EUR_USD,M15,BUY,1.17552,2503.33,100133.12,0.000469
2025-09-15 12:00:00+00:00,EUR_USD,M15,FLAT,1.17662,0.0,100135.46,0.000446
2025-09-15 12:15:00+00:00,EUR_USD,M15,BUY,1.17636,2503.39,100135.46,0.000446
2025-09-16 16:30:00+00:00,EUR_USD,M15,FLAT,1.18698,0.0,100157.99,0.000221
2025-09-16 16:45:00+00:00,EUR_USD,M15,BUY,1.18645,2503.95,100157.99,0.000221
2025-09-17 02:30:00+00:00,EUR_USD,M15,FLAT,1.18538,0.0,100155.73,0.000244
2025-09-17 03:00:00+00:00,EUR_USD,M15,BUY,1.18565,2503.89,100155.73,0.000244
2025-09-17 03:15:00+00:00,EUR_USD,M15,FLAT,1.18556,0.0,100155.54,0.000245
2025-09-17 04:00:00+00:00,EUR_USD,M15,BUY,1.18522,2503.89,100155.54,0.000245
2025-09-17 12:15:00+00:00,EUR_USD,M15,FLAT,1.18344,0.0,100151.78,0.000283
2025-09-22 12:00:00+00:00,EUR_USD,M15,BUY,1.17826,2503.79,100151.78,0.000283
2025-09-22 17:45:00+00:00,EUR_USD,M15,FLAT,1.17966,0.0,100154.76,0.000253
2025-09-22 18:00:00+00:00,EUR_USD,M15,BUY,1.17938,2503.87,100154.76,0.000253
2025-09-22 18:30:00+00:00,EUR_USD,M15,FLAT,1.17924,0.0,100154.46,0.000256
2025-09-22 18:45:00+00:00,EUR_USD,M15,BUY,1.17964,2503.86,100154.46,0.000256
2025-09-22 19:15:00+00:00,EUR_USD,M15,FLAT,1.17992,0.0,100155.06,0.00025
2025-09-22 19:30:00+00:00,EUR_USD,M15,BUY,1.17987,2503.88,100155.06,0.00025
2025-09-23 15:45:00+00:00,EUR_USD,M15,FLAT,1.17984,0.0,100155.0,0.000251
2025-09-23 20:00:00+00:00,EUR_USD,M15,BUY,1.18156,2503.88,100155.0,0.000251
2025-09-24 08:15:00+00:00,EUR_USD,M15,FLAT,1.1771,0.0,100145.54,0.000345
2025-09-25 09:30:00+00:00,EUR_USD,M15,BUY,1.17436,2503.64,100145.54,0.000345
2025-09-25 13:30:00+00:00,EUR_USD,M15,FLAT,1.16939,0.0,100134.94,0.000451
2025-09-26 12:30:00+00:00,EUR_USD,M15,BUY,1.16778,2503.37,100134.94,0.000451
2025-09-29 00:00:00+00:00,EUR_USD,M15,FLAT,1.17178,0.0,100143.51,0.000366
2025-09-29 01:00:00+00:00,EUR_USD,M15,BUY,1.1715,2503.59,100143.51,0.000366
2025-09-29 03:15:00+00:00,EUR_USD,M15,FLAT,1.17288,0.0,100146.45,0.000336
2025-09-29 03:30:00+00:00,EUR_USD,M15,BUY,1.17282,2503.66,100146.45,0.000336
2025-09-29 04:30:00+00:00,EUR_USD,M15,FLAT,1.17274,0.0,100146.28,0.000338
2025-09-29 04:45:00+00:00,EUR_USD,M15,BUY,1.17271,2503.66,100146.28,0.000338
2025-09-30 02:45:00+00:00,EUR_USD,M15,FLAT,1.17224,0.0,100145.29,0.000348
2025-09-30 06:30:00+00:00,EUR_USD,M15,BUY,1.17427,2503.63,100145.29,0.000348
2025-09-30 20:15:00+00:00,EUR_USD,M15,FLAT,1.17352,0.0,100143.71,0.000364
2025-09-30 20:30:00+00:00,EUR_USD,M15,BUY,1.17348,2503.59,100143.71,0.000364
2025-09-30 20:45:00+00:00,EUR_USD,M15,FLAT,1.17336,0.0,100143.45,0.000366
2025-09-30 21:00:00+00:00,EUR_USD,M15,BUY,1.17358,2503.59,100143.45,0.000366
2025-10-01 05:15:00+00:00,EUR_USD,M15,FLAT,1.17602,0.0,100148.66,0.000314
