timestamp,strategy_id,pair,signal_direction,entry_price,sl_price,tp1_price,tp2_price,tp3_price,lot_size,confluence_score,session,spread_at_entry,atr_at_entry,adx_at_entry,rsi_at_entry,ema_50_value,ema_200_value,vwap_deviation,news_within_60min,macd_hist_at_entry,stoch_k_at_entry,distance_from_ema50_pips,candle_body_ratio,hour_of_day,day_of_week,entry_pattern,exit_price,exit_reason,exit_time,pnl_pips,pnl_dollars,hold_time_minutes,win,dow,rsi_bin,adx_bin,ema_dist_abs,dist_bin,br_bin,year
2021-09-08 07:00:00+00:00,9,GBP_AUD,LONG,1.8693899999999999,1.8641241584910266,1.87401,1.87893,1.87893,169722.45,4,ASIAN,2.0,0.0020087411319043543,21.452702249141293,66.11430062423959,1.8641338540046741,1.8715890500508963,38.31432067294305,False,0.00018266305138494568,84.16372178391289,49.56145995325789,0.7913043478260685,7,2,london_breakout_long,1.87893,TP3,2021-09-09 17:00:00+00:00,70.80000562094258,1201.6350414000146,2040,True,Wednesday,60-70,20-25,49.56145995325789,40-60,0.7+,2021
2021-09-13 07:00:00+00:00,9,GBP_AUD,SHORT,1.8771900000000001,1.8833050167583811,1.87216,1.86683,1.86683,148118.63,4,ASIAN,2.0,0.0023598633673986864,28.741557809896246,46.77677331882773,1.876598561944951,1.8735151765240061,-3.569556286804332,False,-0.0002816539468112518,27.14149842211169,8.914380550490986,0.35714285714282884,7,0,london_breakout_short,1.8833050167583811,SL,2021-09-14 03:00:00+00:00,-61.15016758380998,-905.7479046784345,1200,False,Monday,40-50,25-30,8.914380550490986,0-20,0.3-0.5,2021
2021-09-23 07:00:00+00:00,9,GBP_AUD,SHORT,1.87996,1.8861846763772794,1.87491,1.86956,1.86956,144054.14,5,ASIAN,2.0,0.002358451225846621,32.356147428964725,42.554598637272285,1.8832820423017285,1.8836261426824608,-5.575882119510656,False,7.065965417397182e-05,16.98073651975415,-30.220423017284226,0.4389140271493181,7,3,london_breakout_short,1.8861846763772794,SL,2021-09-24 09:00:00+00:00,-62.24676377279303,-896.6904023072857,1560,False,Thursday,40-50,30-40,30.220423017284226,20-40,0.3-0.5,2021
2021-09-27 08:00:00+00:00,9,GBP_AUD,LONG,1.8868800000000001,1.8804550866247827,1.8927500000000002,1.8988600000000002,1.8988600000000002,138168.95,5,LONDON,2.0,0.0025801106822235876,44.271893798313954,62.06939928724578,1.881858256685367,1.8828506352464505,10.333333333334416,False,0.0004348787477519013,98.1979118367359,47.81743314633102,0.8106060606061077,8,0,london_breakout_long,1.8804550866247827,SL,2021-09-27 16:00:00+00:00,-64.24913375217444,-887.7235348947504,480,False,Monday,60-70,40+,47.81743314633102,40-60,0.7+,2021
2021-09-29 07:00:00+00:00,9,GBP_AUD,SHORT,1.86456,1.8708105693713322,1.85965,1.85444,1.85444,140602.6,5,ASIAN,2.0,0.0023987829093519556,45.76688862945024,27.629059969695163,1.8743498494594473,1.8799887780106463,-63.08864432481131,False,-3.988290668244937e-05,11.203317136489341,-94.89849459447308,0.7916666666667298,7,2,london_breakout_short,1.8708105693713322,SL,2021-09-29 20:00:00+00:00,-62.505693713321705,-878.8463050896687,780,False,Wednesday,<30,40+,94.89849459447308,60-100,0.7+,2021
2021-10-04 08:00:00+00:00,9,GBP_AUD,LONG,1.86698,1.86221,1.87121,1.87568,1.87568,182402.06,4,LONDON,2.0,0.0024067721634615253,30.855910929378332,56.12987415394099,1.8658215939787324,1.8726635258443607,-1.1333333333318762,False,0.00022576067276034833,82.185230363086,9.184060212676926,0.044642857142851836,8,0,london_breakout_long,1.87568,TP3,2021-10-05 11:00:00+00:00,64.6500047696824,1179.2294048999895,1620,True,Monday,50-60,30-40,9.184060212676926,0-20,<0.3,2021
2021-10-07 07:00:00+00:00,9,GBP_AUD,SHORT,1.8616000000000001,1.8668917827123885,1.8580500000000002,1.8542000000000003,1.8542000000000003,166645.19,5,ASIAN,2.0,0.0020740907217442787,61.74058110061546,29.642469270715324,1.8683803943095096,1.8709039296359729,-76.32226711262956,False,-0.0003786237460614789,37.87994675496943,-64.80394309509529,0.7402597402596944,7,3,london_breakout_short,1.8668917827123885,SL,2021-10-07 09:00:00+00:00,-52.917827123883924,-881.8501355446791,120,False,Thursday,<30,40+,64.80394309509529,60-100,0.7+,2021
2021-10-11 08:00:00+00:00,9,GBP_AUD,SHORT,1.85806,1.8643724819552805,1.8525800000000001,1.8468600000000002,1.8468600000000002,138302.43,5,LONDON,2.0,0.0024212075833898424,26.3921900564972,35.73877851275918,1.8636746759602842,1.8678466103991624,-1.733333333335807,False,-0.0005249339113578063,23.407264774403327,-53.746759602841806,0.16810344827580762,8,0,london_breakout_short,1.8468600000000002,TP3,2021-10-11 21:00:00+00:00,83.40000809819368,1153.4423781999865,780,True,Monday,30-40,25-30,53.746759602841806,40-60,<0.3,2021
2021-10-12 07:00:00+00:00,9,GBP_AUD,SHORT,1.84664,1.8525816513431557,1.84159,1.83624,1.83624,148875.45,5,ASIAN,2.0,0.002509041927457791,31.986887869016066,35.0276725144068,1.8560232356368758,1.8644252763764053,-51.024894629199125,False,0.0002920070040361199,35.8445709976134,-90.83235636875742,0.8566493955095178,7,1,london_breakout_short,1.8525816513431557,SL,2021-10-13 00:00:00+00:00,-59.41651343155607,-884.5660174553955,1020,False,Tuesday,30-40,30-40,90.83235636875742,60-100,0.7+,2021
2021-10-15 07:00:00+00:00,9,GBP_AUD,LONG,1.8484,1.8428246827204295,1.85223,1.85636,1.85636,157070.95,4,ASIAN,2.0,0.002420832132411901,31.976673576230844,56.856349499204796,1.8475453823083048,1.8561918102850283,17.45392024888881,False,0.0004025089188946988,42.683973089308694,5.546176916952916,0.8312693498451992,7,4,london_breakout_long,1.85636,TP3,2021-10-15 14:00:00+00:00,58.95000506777335,925.9333298499976,420,True,Friday,50-60,30-40,5.546176916952916,0-20,0.7+,2021
2021-10-18 09:00:00+00:00,9,GBP_AUD,LONG,1.85868,1.8524994942235773,1.8638700000000001,1.8693000000000002,1.8693000000000002,143188.88,5,LONDON,2.0,0.0024171878598141655,33.235702498996176,69.66847890763486,1.8519276349754747,1.8557023619240558,17.123744726696977,False,0.0002238970694313459,78.97255892255913,65.12365024525346,0.6983050847458193,9,0,london_breakout_long,1.8524994942235773,SL,2021-10-18 14:00:00+00:00,-61.805057764228174,-884.9796999595137,300,False,Monday,60-70,30-40,65.12365024525346,60-100,0.5-0.7,2021
2021-10-25 07:00:00+00:00,9,GBP_AUD,SHORT,1.83783,1.84363,1.83348,1.82883,1.82883,151056.88,5,ASIAN,2.0,0.002328999160393878,26.854568439514466,36.852735455319596,1.8418652676130938,1.8469597252277559,-22.07765086633673,False,-0.00023187171000131997,18.206656749592607,-37.35267613093729,0.6450777202072273,7,0,london_breakout_short,1.83783,TP1+SL,2021-10-26 07:00:00+00:00,21.75000000000038,328.54871400000576,1440,True,Monday,30-40,25-30,37.35267613093729,20-40,0.5-0.7,2021
2021-11-03 07:00:00+00:00,9,GBP_AUD,SHORT,1.82864,1.8341594389265794,1.8244399999999998,1.8199399999999997,1.8199399999999997,159330.58,4,ASIAN,2.0,0.0021250773155865902,27.959638072735295,47.99896338370671,1.827406236302756,1.830835628728908,-10.809463079324289,False,-0.0006752375660978487,14.594997255549075,15.337636972441171,0.9042145593869413,7,2,london_breakout_short,1.8341594389265794,SL,2021-11-03 11:00:00+00:00,-55.19438926579357,-879.4154054464663,240,False,Wednesday,40-50,25-30,15.337636972441171,0-20,0.7+,2021
2021-11-05 09:00:00+00:00,9,GBP_AUD,SHORT,1.82155,1.82779,1.81605,1.8103099999999999,1.8103099999999999,139522.63,5,LONDON,2.0,0.002622487608665155,25.53858821153165,36.12427600897848,1.8280784306967612,1.8305362128693878,-17.046117053944876,False,0.00017571039359092887,31.90712583039218,-62.884306967612154,0.45569620253163606,9,4,london_breakout_short,1.82779,SL,2021-11-08 13:00:00+00:00,-62.40000000000023,-870.6212112000032,4560,False,Friday,30-40,25-30,62.884306967612154,60-100,0.3-0.5,2021
